word,n,samp_freq
news,633,0.13391157182145125
times,235,0.04971440660038079
re,143,0.03025174529299767
open,135,0.02855933996192088
today,122,0.025809181298921093
daily,108,0.022847471969536706
reporter,95,0.020097313306536916
north,89,0.01882800930822932
south,81,0.01713560397715253
guide,74,0.015654749312460334
business,67,0.01417389464776814
usa,51,0.010789083985614555
west,44,0.009308229320922361
east,40,0.008462026655383965
ne,37,0.007827374656230167
state,37,0.007827374656230167
se,36,0.007615823989845568
standard,35,0.007404273323460969
valley,35,0.007404273323460969
county,32,0.006769621324307171
review,32,0.006769621324307171
nw,31,0.006558070657922572
sw,31,0.006558070657922572
us,30,0.006346519991537973
central,29,0.006134969325153374
co,29,0.006134969325153374
sun,28,0.005923418658768775
politics,27,0.005711867992384176
wire,26,0.0055003173259995765
world,24,0.0050772159932303785
leader,23,0.0048656653268457795
city,22,0.0046541146604611805
conservative,22,0.0046541146604611805
nc,22,0.0046541146604611805
report,22,0.0046541146604611805
american,21,0.0044425639940765815
sc,21,0.0044425639940765815
liberty,19,0.0040194626613073835
tribune,19,0.0040194626613073835
media,17,0.0035963613285381847
truth,17,0.0035963613285381847
now,16,0.0033848106621535857
record,16,0.0033848106621535857
la,15,0.0031732599957689867
gold,14,0.0029617093293843877
new,14,0.0029617093293843877
post,14,0.0029617093293843877
ec,13,0.0027501586629997883
patriot,13,0.0027501586629997883
america,12,0.0025386079966151893
blog,12,0.0025386079966151893
free,12,0.0025386079966151893
iowa,12,0.0025386079966151893
st,12,0.0025386079966151893
washington,12,0.0025386079966151893
coast,11,0.0023270573302305903
life,11,0.0023270573302305903
right,11,0.0023270573302305903
wc,11,0.0023270573302305903
georgia,10,0.0021155066638459913
kansas,10,0.0021155066638459913
lake,10,0.0021155066638459913
live,10,0.0021155066638459913
ny,10,0.0021155066638459913
opening,10,0.0021155066638459913
press,10,0.0021155066638459913
silver,10,0.0021155066638459913
tx,10,0.0021155066638459913
country,9,0.001903955997461392
freedom,9,0.001903955997461392
indiana,9,0.001903955997461392
info,9,0.001903955997461392
journal,9,0.001903955997461392
magazine,9,0.001903955997461392
missouri,9,0.001903955997461392
ohio,9,0.001903955997461392
texas,9,0.001903955997461392
wisconsin,9,0.001903955997461392
big,8,0.0016924053310767928
gazette,8,0.0016924053310767928
houston,8,0.0016924053310767928
kentucky,8,0.0016924053310767928
maine,8,0.0016924053310767928
minnesota,8,0.0016924053310767928
oklahoma,8,0.0016924053310767928
alabama,7,0.0014808546646921938
breaking,7,0.0014808546646921938
catholic,7,0.0014808546646921938
green,7,0.0014808546646921938
healthy,7,0.0014808546646921938
louisiana,7,0.0014808546646921938
mass,7,0.0014808546646921938
mexico,7,0.0014808546646921938
miss,7,0.0014808546646921938
mo,7,0.0014808546646921938
nebraska,7,0.0014808546646921938
network,7,0.0014808546646921938
planet,7,0.0014808546646921938
political,7,0.0014808546646921938
san,7,0.0014808546646921938
trump,7,0.0014808546646921938
alaska,6,0.0012693039983075946
ca,6,0.0012693039983075946
chronicle,6,0.0012693039983075946
cities,6,0.0012693039983075946
colorado,6,0.0012693039983075946
conn,6,0.0012693039983075946
empire,6,0.0012693039983075946
franklin,6,0.0012693039983075946
king,6,0.0012693039983075946
ly,6,0.0012693039983075946
mind,6,0.0012693039983075946
montana,6,0.0012693039983075946
newswire,6,0.0012693039983075946
panhandle,6,0.0012693039983075946
river,6,0.0012693039983075946
sd,6,0.0012693039983075946
sf,6,0.0012693039983075946
stl,6,0.0012693039983075946
va,6,0.0012693039983075946
wa,6,0.0012693039983075946
action,5,0.0010577533319229956
atlanta,5,0.0010577533319229956
bay,5,0.0010577533319229956
blue,5,0.0010577533319229956
center,5,0.0010577533319229956
dallas,5,0.0010577533319229956
dc,5,0.0010577533319229956
ed,5,0.0010577533319229956
florida,5,0.0010577533319229956
illinois,5,0.0010577533319229956
indy,5,0.0010577533319229956
madison,5,0.0010577533319229956
michigan,5,0.0010577533319229956
mid,5,0.0010577533319229956
nation,5,0.0010577533319229956
national,5,0.0010577533319229956
oc,5,0.0010577533319229956
pa,5,0.0010577533319229956
radio,5,0.0010577533319229956
rock,5,0.0010577533319229956
upper,5,0.0010577533319229956
utah,5,0.0010577533319229956
vegas,5,0.0010577533319229956
viral,5,0.0010577533319229956
watch,5,0.0010577533319229956
wayne,5,0.0010577533319229956
wealth,5,0.0010577533319229956
wv,5,0.0010577533319229956
wyoming,5,0.0010577533319229956
24,4,8.462026655383964e-4
365,4,8.462026655383964e-4
allegheny,4,8.462026655383964e-4
arizona,4,8.462026655383964e-4
arkansas,4,8.462026655383964e-4
bluegrass,4,8.462026655383964e-4
carolina,4,8.462026655383964e-4
cook,4,8.462026655383964e-4
dakota,4,8.462026655383964e-4
de,4,8.462026655383964e-4
del,4,8.462026655383964e-4
du,4,8.462026655383964e-4
economy,4,8.462026655383964e-4
el,4,8.462026655383964e-4
en,4,8.462026655383964e-4
er,4,8.462026655383964e-4
fed,4,8.462026655383964e-4
feed,4,8.462026655383964e-4
fl,4,8.462026655383964e-4
flash,4,8.462026655383964e-4
ga,4,8.462026655383964e-4
grand,4,8.462026655383964e-4
health,4,8.462026655383964e-4
ia,4,8.462026655383964e-4
idaho,4,8.462026655383964e-4
island,4,8.462026655383964e-4
jeff,4,8.462026655383964e-4
kent,4,8.462026655383964e-4
last,4,8.462026655383964e-4
le,4,8.462026655383964e-4
ledger,4,8.462026655383964e-4
liberal,4,8.462026655383964e-4
mag,4,8.462026655383964e-4
md,4,8.462026655383964e-4
mountain,4,8.462026655383964e-4
natural,4,8.462026655383964e-4
nd,4,8.462026655383964e-4
newyork,4,8.462026655383964e-4
observer,4,8.462026655383964e-4
ok,4,8.462026655383964e-4
okc,4,8.462026655383964e-4
oregon,4,8.462026655383964e-4
paul,4,8.462026655383964e-4
penny,4,8.462026655383964e-4
pin,4,8.462026655383964e-4
policy,4,8.462026655383964e-4
project,4,8.462026655383964e-4
real,4,8.462026655383964e-4
region,4,8.462026655383964e-4
republic,4,8.462026655383964e-4
rs,4,8.462026655383964e-4
time,4,8.462026655383964e-4
top,4,8.462026655383964e-4
tri,4,8.462026655383964e-4
true,4,8.462026655383964e-4
twin,4,8.462026655383964e-4
underground,4,8.462026655383964e-4
union,4,8.462026655383964e-4
ville,4,8.462026655383964e-4
virginia,4,8.462026655383964e-4
vnews,4,8.462026655383964e-4
wake,4,8.462026655383964e-4
web,4,8.462026655383964e-4
western,4,8.462026655383964e-4
wichita,4,8.462026655383964e-4
12,3,6.346519991537973e-4
abcnews,3,6.346519991537973e-4
activist,3,6.346519991537973e-4
al,3,6.346519991537973e-4
alameda,3,6.346519991537973e-4
alert,3,6.346519991537973e-4
alliance,3,6.346519991537973e-4
americans,3,6.346519991537973e-4
antonio,3,6.346519991537973e-4
beach,3,6.346519991537973e-4
bergen,3,6.346519991537973e-4
boston,3,6.346519991537973e-4
broward,3,6.346519991537973e-4
bucks,3,6.346519991537973e-4
burlington,3,6.346519991537973e-4
butler,3,6.346519991537973e-4
buzz,3,6.346519991537973e-4
chester,3,6.346519991537973e-4
christian,3,6.346519991537973e-4
cleveland,3,6.346519991537973e-4
coalition,3,6.346519991537973e-4
coin,3,6.346519991537973e-4
columbus,3,6.346519991537973e-4
con,3,6.346519991537973e-4
contra,3,6.346519991537973e-4
courant,3,6.346519991537973e-4
cumberland,3,6.346519991537973e-4
david,3,6.346519991537973e-4
dayton,3,6.346519991537973e-4
denver,3,6.346519991537973e-4
des,3,6.346519991537973e-4
dfw,3,6.346519991537973e-4
donald,3,6.346519991537973e-4
dsm,3,6.346519991537973e-4
economic,3,6.346519991537973e-4
ee,3,6.346519991537973e-4
end,3,6.346519991537973e-4
examiner,3,6.346519991537973e-4
federalist,3,6.346519991537973e-4
fla,3,6.346519991537973e-4
force,3,6.346519991537973e-4
ft,3,6.346519991537973e-4
garden,3,6.346519991537973e-4
go,3,6.346519991537973e-4
gr,3,6.346519991537973e-4
great,3,6.346519991537973e-4
headlines,3,6.346519991537973e-4
hen,3,6.346519991537973e-4
herald,3,6.346519991537973e-4
highlands,3,6.346519991537973e-4
hill,3,6.346519991537973e-4
hillsborough,3,6.346519991537973e-4
ho,3,6.346519991537973e-4
information,3,6.346519991537973e-4
insurance,3,6.346519991537973e-4
jackson,3,6.346519991537973e-4
jones,3,6.346519991537973e-4
kings,3,6.346519991537973e-4
knowledge,3,6.346519991537973e-4
knox,3,6.346519991537973e-4
ks,3,6.346519991537973e-4
ky,3,6.346519991537973e-4
lakes,3,6.346519991537973e-4
land,3,6.346519991537973e-4
line,3,6.346519991537973e-4
little,3,6.346519991537973e-4
love,3,6.346519991537973e-4
maga,3,6.346519991537973e-4
man,3,6.346519991537973e-4
mer,3,6.346519991537973e-4
mi,3,6.346519991537973e-4
mke,3,6.346519991537973e-4
mn,3,6.346519991537973e-4
moines,3,6.346519991537973e-4
monroe,3,6.346519991537973e-4
mont,3,6.346519991537973e-4
moon,3,6.346519991537973e-4
morning,3,6.346519991537973e-4
movement,3,6.346519991537973e-4
mt,3,6.346519991537973e-4
nbc,3,6.346519991537973e-4
net,3,6.346519991537973e-4
nevada,3,6.346519991537973e-4
occupy,3,6.346519991537973e-4
omaha,3,6.346519991537973e-4
orlando,3,6.346519991537973e-4
palm,3,6.346519991537973e-4
park,3,6.346519991537973e-4
party,3,6.346519991537973e-4
phase,3,6.346519991537973e-4
pinellas,3,6.346519991537973e-4
politico,3,6.346519991537973e-4
power,3,6.346519991537973e-4
progress,3,6.346519991537973e-4
rapids,3,6.346519991537973e-4
red,3,6.346519991537973e-4
redstate,3,6.346519991537973e-4
reo,3,6.346519991537973e-4
research,3,6.346519991537973e-4
rg,3,6.346519991537973e-4
rising,3,6.346519991537973e-4
sac,3,6.346519991537973e-4
salem,3,6.346519991537973e-4
sandiego,3,6.346519991537973e-4
santa,3,6.346519991537973e-4
science,3,6.346519991537973e-4
security,3,6.346519991537973e-4
seek,3,6.346519991537973e-4
sentinel,3,6.346519991537973e-4
sg,3,6.346519991537973e-4
shelby,3,6.346519991537973e-4
shenandoah,3,6.346519991537973e-4
show,3,6.346519991537973e-4
slc,3,6.346519991537973e-4
storm,3,6.346519991537973e-4
tea,3,6.346519991537973e-4
ten,3,6.346519991537973e-4
topeka,3,6.346519991537973e-4
town,3,6.346519991537973e-4
trend,3,6.346519991537973e-4
tulsa,3,6.346519991537973e-4
united,3,6.346519991537973e-4
update,3,6.346519991537973e-4
urban,3,6.346519991537973e-4
vermont,3,6.346519991537973e-4
veterans,3,6.346519991537973e-4
vision,3,6.346519991537973e-4
warren,3,6.346519991537973e-4
wi,3,6.346519991537973e-4
wy,3,6.346519991537973e-4
2016,2,4.231013327691982e-4
24h,2,4.231013327691982e-4
31,2,4.231013327691982e-4
33,2,4.231013327691982e-4
ab,2,4.231013327691982e-4
adams,2,4.231013327691982e-4
advocate,2,4.231013327691982e-4
ann,2,4.231013327691982e-4
anon,2,4.231013327691982e-4
asheville,2,4.231013327691982e-4
austin,2,4.231013327691982e-4
az,2,4.231013327691982e-4
baldwin,2,4.231013327691982e-4
baltimore,2,4.231013327691982e-4
baptist,2,4.231013327691982e-4
beacon,2,4.231013327691982e-4
beauty,2,4.231013327691982e-4
beaver,2,4.231013327691982e-4
beehive,2,4.231013327691982e-4
benton,2,4.231013327691982e-4
birmingham,2,4.231013327691982e-4
black,2,4.231013327691982e-4
blaze,2,4.231013327691982e-4
book,2,4.231013327691982e-4
bu,2,4.231013327691982e-4
bv,2,4.231013327691982e-4
cal,2,4.231013327691982e-4
canada,2,4.231013327691982e-4
cape,2,4.231013327691982e-4
capital,2,4.231013327691982e-4
cedar,2,4.231013327691982e-4
century,2,4.231013327691982e-4
charleston,2,4.231013327691982e-4
charlotte,2,4.231013327691982e-4
christ,2,4.231013327691982e-4
chronicles,2,4.231013327691982e-4
cincy,2,4.231013327691982e-4
citizen,2,4.231013327691982e-4
clay,2,4.231013327691982e-4
clinton,2,4.231013327691982e-4
cnews,2,4.231013327691982e-4
coastal,2,4.231013327691982e-4
cold,2,4.231013327691982e-4
collapse,2,4.231013327691982e-4
collective,2,4.231013327691982e-4
columbia,2,4.231013327691982e-4
cons,2,4.231013327691982e-4
conscious,2,4.231013327691982e-4
conspiracy,2,4.231013327691982e-4
cops,2,4.231013327691982e-4
corner,2,4.231013327691982e-4
costa,2,4.231013327691982e-4
counter,2,4.231013327691982e-4
counterpunch,2,4.231013327691982e-4
cr,2,4.231013327691982e-4
crawford,2,4.231013327691982e-4
creek,2,4.231013327691982e-4
dark,2,4.231013327691982e-4
day,2,4.231013327691982e-4
decatur,2,4.231013327691982e-4
defense,2,4.231013327691982e-4
dekalb,2,4.231013327691982e-4
delaware,2,4.231013327691982e-4
delta,2,4.231013327691982e-4
democrats,2,4.231013327691982e-4
doctor,2,4.231013327691982e-4
doctors,2,4.231013327691982e-4
dont,2,4.231013327691982e-4
dose,2,4.231013327691982e-4
duff,2,4.231013327691982e-4
eagle,2,4.231013327691982e-4
eastern,2,4.231013327691982e-4
eco,2,4.231013327691982e-4
educate,2,4.231013327691982e-4
education,2,4.231013327691982e-4
elk,2,4.231013327691982e-4
email,2,4.231013327691982e-4
enn,2,4.231013327691982e-4
essex,2,4.231013327691982e-4
evening,2,4.231013327691982e-4
facts,2,4.231013327691982e-4
fairfax,2,4.231013327691982e-4
fairfield,2,4.231013327691982e-4
fake,2,4.231013327691982e-4
falls,2,4.231013327691982e-4
far,2,4.231013327691982e-4
farm,2,4.231013327691982e-4
fayetteville,2,4.231013327691982e-4
fda,2,4.231013327691982e-4
fighters,2,4.231013327691982e-4
first,2,4.231013327691982e-4
fort,2,4.231013327691982e-4
four,2,4.231013327691982e-4
frequency,2,4.231013327691982e-4
fresh,2,4.231013327691982e-4
front,2,4.231013327691982e-4
fulton,2,4.231013327691982e-4
gateway,2,4.231013327691982e-4
geller,2,4.231013327691982e-4
geo,2,4.231013327691982e-4
global,2,4.231013327691982e-4
golden,2,4.231013327691982e-4
greenville,2,4.231013327691982e-4
guilford,2,4.231013327691982e-4
gulf,2,4.231013327691982e-4
gwinnett,2,4.231013327691982e-4
hamilton,2,4.231013327691982e-4
hammer,2,4.231013327691982e-4
hancock,2,4.231013327691982e-4
harbor,2,4.231013327691982e-4
hart,2,4.231013327691982e-4
heartland,2,4.231013327691982e-4
hi,2,4.231013327691982e-4
higher,2,4.231013327691982e-4
hills,2,4.231013327691982e-4
hin,2,4.231013327691982e-4
hoax,2,4.231013327691982e-4
hoe,2,4.231013327691982e-4
holy,2,4.231013327691982e-4
home,2,4.231013327691982e-4
hon,2,4.231013327691982e-4
hot,2,4.231013327691982e-4
hq,2,4.231013327691982e-4
hud,2,4.231013327691982e-4
hudson,2,4.231013327691982e-4
id,2,4.231013327691982e-4
india,2,4.231013327691982e-4
ing,2,4.231013327691982e-4
insider,2,4.231013327691982e-4
investment,2,4.231013327691982e-4
jersey,2,4.231013327691982e-4
jo,2,4.231013327691982e-4
johnston,2,4.231013327691982e-4
jr,2,4.231013327691982e-4
kan,2,4.231013327691982e-4
kate,2,4.231013327691982e-4
kc,2,4.231013327691982e-4
keepers,2,4.231013327691982e-4
keystone,2,4.231013327691982e-4
kos,2,4.231013327691982e-4
lady,2,4.231013327691982e-4
lafayette,2,4.231013327691982e-4
lancaster,2,4.231013327691982e-4
lansing,2,4.231013327691982e-4
lawrence,2,4.231013327691982e-4
leak,2,4.231013327691982e-4
lo,2,4.231013327691982e-4
local,2,4.231013327691982e-4
lora,2,4.231013327691982e-4
louisville,2,4.231013327691982e-4
lower,2,4.231013327691982e-4
ma,2,4.231013327691982e-4
macon,2,4.231013327691982e-4
mad,2,4.231013327691982e-4
marion,2,4.231013327691982e-4
market,2,4.231013327691982e-4
marshall,2,4.231013327691982e-4
mash,2,4.231013327691982e-4
mecklenburg,2,4.231013327691982e-4
med,2,4.231013327691982e-4
mega,2,4.231013327691982e-4
men,2,4.231013327691982e-4
metro,2,4.231013327691982e-4
mia,2,4.231013327691982e-4
middlesex,2,4.231013327691982e-4
midland,2,4.231013327691982e-4
miles,2,4.231013327691982e-4
mill,2,4.231013327691982e-4
minds,2,4.231013327691982e-4
mirror,2,4.231013327691982e-4
mis,2,4.231013327691982e-4
mish,2,4.231013327691982e-4
mon,2,4.231013327691982e-4
montgomery,2,4.231013327691982e-4
mp,2,4.231013327691982e-4
ms,2,4.231013327691982e-4
mysterious,2,4.231013327691982e-4
naked,2,4.231013327691982e-4
nashville,2,4.231013327691982e-4
native,2,4.231013327691982e-4
neon,2,4.231013327691982e-4
networks,2,4.231013327691982e-4
newcastle,2,4.231013327691982e-4
newswatch,2,4.231013327691982e-4
nh,2,4.231013327691982e-4
nj,2,4.231013327691982e-4
nola,2,4.231013327691982e-4
nona,2,4.231013327691982e-4
norman,2,4.231013327691982e-4
northern,2,4.231013327691982e-4
nova,2,4.231013327691982e-4
nutrition,2,4.231013327691982e-4
nv,2,4.231013327691982e-4
oakland,2,4.231013327691982e-4
ocean,2,4.231013327691982e-4
od,2,4.231013327691982e-4
oil,2,4.231013327691982e-4
old,2,4.231013327691982e-4
one,2,4.231013327691982e-4
online,2,4.231013327691982e-4
ott,2,4.231013327691982e-4
oxford,2,4.231013327691982e-4
palmetto,2,4.231013327691982e-4
parish,2,4.231013327691982e-4
part,2,4.231013327691982e-4
pass,2,4.231013327691982e-4
patriots,2,4.231013327691982e-4
pdx,2,4.231013327691982e-4
pedia,2,4.231013327691982e-4
penn,2,4.231013327691982e-4
ph,2,4.231013327691982e-4
pima,2,4.231013327691982e-4
pine,2,4.231013327691982e-4
plan,2,4.231013327691982e-4
plex,2,4.231013327691982e-4
po,2,4.231013327691982e-4
poli,2,4.231013327691982e-4
portal,2,4.231013327691982e-4
portland,2,4.231013327691982e-4
pravda,2,4.231013327691982e-4
prepper,2,4.231013327691982e-4
prison,2,4.231013327691982e-4
pro,2,4.231013327691982e-4
proud,2,4.231013327691982e-4
pt,2,4.231013327691982e-4
pundit,2,4.231013327691982e-4
que,2,4.231013327691982e-4
raleigh,2,4.231013327691982e-4
rapa,2,4.231013327691982e-4
raw,2,4.231013327691982e-4
ri,2,4.231013327691982e-4
richmond,2,4.231013327691982e-4
rick,2,4.231013327691982e-4
riverside,2,4.231013327691982e-4
royal,2,4.231013327691982e-4
ru,2,4.231013327691982e-4
rumor,2,4.231013327691982e-4
russia,2,4.231013327691982e-4
sacramento,2,4.231013327691982e-4
seattle,2,4.231013327691982e-4
sense,2,4.231013327691982e-4
shape,2,4.231013327691982e-4
sheep,2,4.231013327691982e-4
side,2,4.231013327691982e-4
sioux,2,4.231013327691982e-4
site,2,4.231013327691982e-4
smart,2,4.231013327691982e-4
sno,2,4.231013327691982e-4
sources,2,4.231013327691982e-4
southern,2,4.231013327691982e-4
sovereign,2,4.231013327691982e-4
speed,2,4.231013327691982e-4
spokane,2,4.231013327691982e-4
sport,2,4.231013327691982e-4
sports,2,4.231013327691982e-4
springfield,2,4.231013327691982e-4
springs,2,4.231013327691982e-4
star,2,4.231013327691982e-4
stark,2,4.231013327691982e-4
states,2,4.231013327691982e-4
stories,2,4.231013327691982e-4
summit,2,4.231013327691982e-4
supreme,2,4.231013327691982e-4
survival,2,4.231013327691982e-4
talk,2,4.231013327691982e-4
task,2,4.231013327691982e-4
tidewater,2,4.231013327691982e-4
tmz,2,4.231013327691982e-4
tn,2,4.231013327691982e-4
ton,2,4.231013327691982e-4
trader,2,4.231013327691982e-4
treasure,2,4.231013327691982e-4
trending,2,4.231013327691982e-4
triangle,2,4.231013327691982e-4
ts,2,4.231013327691982e-4
tt,2,4.231013327691982e-4
twenty,2,4.231013327691982e-4
ufo,2,4.231013327691982e-4
un,2,4.231013327691982e-4
und,2,4.231013327691982e-4
unleashed,2,4.231013327691982e-4
ventura,2,4.231013327691982e-4
ver,2,4.231013327691982e-4
volusia,2,4.231013327691982e-4
waterford,2,4.231013327691982e-4
waterloo,2,4.231013327691982e-4
weekly,2,4.231013327691982e-4
wes,2,4.231013327691982e-4
wests,2,4.231013327691982e-4
wikileaks,2,4.231013327691982e-4
winston,2,4.231013327691982e-4
wood,2,4.231013327691982e-4
worlds,2,4.231013327691982e-4
worldwide,2,4.231013327691982e-4
yellow,2,4.231013327691982e-4
zone,2,4.231013327691982e-4
